stock,n_test,n_train,accuracy,method,time,ahead
AAPL,480,250,0.5291666666666667,LDA,10,20
AAPL,480,250,0.48125,RF,10,20
AAPL,480,250,0.47291666666666665,SVM,10,20
AAPL,480,250,0.44375,RG,10,20
AAPL,480,250,0.5,KNN,20,20
AAPL,480,250,0.4979166666666667,NB,20,20
AAPL,480,250,0.4395833333333333,LDA,20,20
AAPL,480,250,0.5333333333333333,RF,20,20
AAPL,480,250,0.45625,SVM,20,20
AAPL,480,250,0.5354166666666667,RG,20,20
AAPL,960,250,0.50625,KNN,3,1
AAPL,960,250,0.51875,NB,3,1
AAPL,960,250,0.4947916666666667,LDA,3,1
AAPL,960,250,0.48854166666666665,RF,3,1
AAPL,960,250,0.48541666666666666,SVM,3,1
AAPL,960,250,0.48541666666666666,RG,3,1
AAPL,960,250,0.5291666666666667,KNN,5,1
AAPL,960,250,0.515625,NB,5,1
AAPL,960,250,0.5052083333333334,LDA,5,1
AAPL,960,250,0.5041666666666667,RF,5,1
AAPL,960,250,0.5145833333333333,SVM,5,1
AAPL,960,250,0.5083333333333333,RG,5,1
AAPL,960,250,0.5145833333333333,KNN,10,1
AAPL,960,250,0.5125,NB,10,1
AAPL,960,250,0.48854166666666665,LDA,10,1
AAPL,960,250,0.49375,RF,10,1
AAPL,960,250,0.496875,SVM,10,1
AAPL,960,250,0.4635416666666667,RG,10,1
AAPL,960,250,0.49166666666666664,KNN,20,1
AAPL,960,250,0.5,NB,20,1
AAPL,960,250,0.525,LDA,20,1
AAPL,960,250,0.496875,RF,20,1
AAPL,960,250,0.5135416666666667,SVM,20,1
AAPL,960,250,0.46979166666666666,RG,20,1
AAPL,960,250,0.471875,KNN,3,5
AAPL,960,250,0.46979166666666666,NB,3,5
AAPL,960,250,0.4895833333333333,LDA,3,5
AAPL,960,250,0.47708333333333336,RF,3,5
AAPL,960,250,0.471875,SVM,3,5
AAPL,960,250,0.484375,RG,3,5
AAPL,960,250,0.5322916666666667,KNN,5,5
AAPL,960,250,0.5135416666666667,NB,5,5
AAPL,960,250,0.47604166666666664,LDA,5,5
AAPL,960,250,0.490625,RF,5,5
AAPL,960,250,0.47291666666666665,SVM,5,5
AAPL,960,250,0.4979166666666667,RG,5,5
AAPL,960,250,0.490625,KNN,10,5
AAPL,960,250,0.49270833333333336,NB,10,5
AAPL,960,250,0.515625,LDA,10,5
AAPL,960,250,0.49375,RF,10,5
AAPL,960,250,0.5145833333333333,SVM,10,5
AAPL,960,250,0.503125,RG,10,5
AAPL,960,250,0.503125,KNN,20,5
