stock,n_test,n_train,return,standard_error,method,time,ahead
AAPL,240,250,0.10583538459896125,0.06551053999454311,RG,3,20
AAPL,240,250,0.10373316352838624,0.028579198862959312,KNN,5,20
AAPL,240,250,0.07678378217640103,0.05734823320940976,NB,5,20
AAPL,240,250,0.09298278122609838,0.0778122410075686,LDA,5,20
AAPL,240,250,0.06347204501932735,0.11871026919371447,RF,5,20
AAPL,240,250,0.08557417712876125,0.08989703618311397,SVM,5,20
AAPL,240,250,0.09180825502692969,0.13519140848506767,RG,5,20
AAPL,240,250,0.14265345591535228,0.030933673907722135,KNN,10,20
AAPL,240,250,0.07669320156858861,0.07382938747924062,NB,10,20
AAPL,240,250,0.10154732483904083,0.10998859034071458,LDA,10,20
AAPL,240,250,0.10285674849459525,0.12589268710111978,RF,10,20
AAPL,240,250,0.10405648898028064,0.11095454266137675,SVM,10,20
AAPL,240,250,0.144960267958109,0.0993408349419667,RG,10,20
AAPL,240,250,0.12940674234235527,0.04468735068343532,KNN,20,20
AAPL,240,250,0.032716356479773,0.03793699386613809,NB,20,20
AAPL,240,250,0.12064407228277196,0.06441302155935735,LDA,20,20
AAPL,240,250,0.13115570854598047,0.06121616503183861,RF,20,20
AAPL,240,250,0.14905522631123835,0.1276693856719633,SVM,20,20
AAPL,240,250,0.10424540149988393,0.15184592536492683,RG,20,20
AAPL,480,250,0.7355318394367716,0.3423200912805827,KNN,3,1
AAPL,480,250,0.6442222413098468,0.9158314249477106,NB,3,1
AAPL,480,250,0.22447737695277925,0.8627561028222588,LDA,3,1
AAPL,480,250,0.48419283722822737,2.321209672349561,RF,3,1
AAPL,480,250,0.5495445403644243,1.5232782525180888,SVM,3,1
AAPL,480,250,0.26083207280188314,1.2949368660528753,RG,3,1
AAPL,480,250,0.10035293544307455,0.08192435976172095,KNN,5,1
AAPL,480,250,-0.03121233245189703,0.29821406812668905,NB,5,1
AAPL,480,250,0.10342456251304677,0.23919082405577657,LDA,5,1
AAPL,480,250,0.005052722986205405,0.308900739555485,RF,5,1
AAPL,480,250,0.09694298070192864,0.6423024314555846,SVM,5,1
AAPL,480,250,0.31577615717504526,0.2229628972344673,RG,5,1
AAPL,480,250,0.38378645440095016,0.23119204250550743,KNN,10,1
AAPL,480,250,0.5122036144173658,0.5753692415686555,NB,10,1
AAPL,480,250,0.4455210745810847,0.43767835054021453,LDA,10,1
AAPL,480,250,0.24149916093244284,1.0975073921129173,RF,10,1
AAPL,480,250,0.3187876013300317,1.1547562390693913,SVM,10,1
AAPL,480,250,0.12647687306004896,1.9212424234535774,RG,10,1
AAPL,480,250,0.277927091084724,0.24848890560869277,KNN,20,1
AAPL,480,250,0.1350168344694782,0.4844211678785248,NB,20,1
AAPL,480,250,0.23147531992086745,0.3428867778836583,LDA,20,1
AAPL,480,250,0.028931557449277445,0.531974893252641,RF,20,1
AAPL,480,250,0.15567285188211888,0.4765860635198871,SVM,20,1
AAPL,480,250,0.16835057511332407,0.7618289981733183,RG,20,1
AAPL,480,250,0.4247871428111807,0.1000639075180752,KNN,3,5
AAPL,480,250,0.4028917204636777,0.17274839327037528,NB,3,5
AAPL,480,250,0.4308800816188332,0.5756243022735655,LDA,3,5
AAPL,480,250,0.4967811997905851,0.574200688397061,RF,3,5
AAPL,480,250,0.3848396263781313,0.3046119880588341,SVM,3,5
AAPL,480,250,0.3012951809950306,0.8481695811010251,RG,3,5
AAPL,480,250,0.5043595118973243,0.11938957264643271,KNN,5,5
AAPL,480,250,0.36126670923731363,0.1533755811549575,NB,5,5
AAPL,480,250,0.25907852804947074,0.9131911523410713,LDA,5,5
AAPL,480,250,0.3201227215726328,0.332878531295174,RF,5,5
AAPL,480,250,0.1836980714323755,0.6978587298744167,SVM,5,5
AAPL,480,250,0.1972438366164302,0.855338173091739,RG,5,5
AAPL,480,250,0.2195510372786118,0.05994201898694155,KNN,10,5
AAPL,480,250,0.2854036846478154,0.15920576508291526,NB,10,5
AAPL,480,250,0.36610866819808097,0.1701446969809278,LDA,10,5
AAPL,480,250,0.434428146917311,0.3566781956595476,RF,10,5
AAPL,480,250,0.49703702190637555,0.60618295328926175,SVM,10,5
AAPL,480,250,0.3630463210661259,0.444877648410895,RG,10,5
AAPL,480,250,0.306315444898299,0.19475895489192244,KNN,20,5
AAPL,480,250,0.3378990217407871,0.28290151420662185,NB,20,5
AAPL,480,250,0.2502864327459391,0.48354490726951166,LDA,20,5
AAPL,480,250,0.24747224032544013,0.24814218259957746,RF,20,5
AAPL,480,250,0.2391970515254831,0.9206109760651551,SVM,20,5
AAPL,480,250,0.2736719081413461,0.9260906205140634,RG,20,5
AAPL,480,250,0.447966000535134,0.12773344631710457,KNN,3,10
AAPL,480,250,0.4369830912058137,0.2970177732423284,NB,3,10
AAPL,480,250,0.4132652716026213,0.2007646960687883,LDA,3,10
AAPL,480,250,0.43071299178921696,0.5742736303260393,RF,3,10
AAPL,480,250,0.49727965243360983,1.0536058081789637,SVM,3,10
AAPL,480,250,0.31949233738295146,1.5884670856107757,RG,3,10
AAPL,480,250,0.26039467865414245,0.032626223418341385,KNN,5,10
AAPL,480,250,0.2535947957431408,0.10734069324131729,NB,5,10
AAPL,480,250,0.3869640896519966,0.22380892061085877,LDA,5,10
