,feature,score
,tBodyAcc-entropy()-Y,0.063333333
,tBodyAccMag-sma(),0.063333333
,"fBodyAccJerk-bandsEnergy()-1,8",0.063333333
,tGravityAcc-iqr()-X,0.061666667
,tBodyGyro-entropy()-Y,0.061666667
,tBodyGyro-max()-X,0.060833333
,fBodyBodyGyroJerkMag-min(),0.060833333
,fBodyAcc-energy()-X,0.06
,fBodyBodyAccJerkMag-std(),0.06
,fBodyAcc-min()-Z,0.059166667
,fBodyGyro-meanFreq()-Y,0.059166667
,tGravityAcc-iqr()-Y,0.058333333
,fBodyGyro-kurtosis()-X,0.056666667
,tBodyGyro-iqr()-X,0.055833333
,tBodyAcc-min()-Z,0.055
,tBodyGyroMag-arCoeff()4,0.055
,"fBodyAcc-bandsEnergy()-9,16_2",0.054166667
,fBodyGyro-iqr()-X,0.054166667
,tBodyAcc-energy()-Y,0.053333333
,"fBodyAccJerk-bandsEnergy()-49,64_1",0.053333333
,"fBodyGyro-bandsEnergy()-1,8_2",0.053333333
,tBodyGyro-mean()-X,0.0525
,"fBodyAcc-bandsEnergy()-9,16_1",0.051666667
,tBodyAcc-std()-Y,0.050833333
,"fBodyAccJerk-bandsEnergy()-49,56",0.05
,"fBodyGyro-bandsEnergy()-49,56",0.05
,tGravityAccMag-entropy(),0.048333333
,fBodyBodyAccJerkMag-iqr(),0.048333333
,"fBodyAccJerk-bandsEnergy()-17,32_1",0.0475
,tBodyAcc-iqr()-X,0.046666667
,tBodyGyro-min()-Y,0.046666667
,"tBodyAcc-arCoeff()-X,1",0.045833333
,"fBodyGyro-bandsEnergy()-49,56_1",0.045833333
,fBodyAcc-max()-X,0.045
,"fBodyAcc-bandsEnergy()-1,8_2",0.044166667
,tBodyAcc-mad()-Y,0.043333333
,tBodyAccJerk-std()-Y,0.041666667
,"tBodyGyro-arCoeff()-Z,3",0.041666667
,"fBodyGyro-bandsEnergy()-1,16_2",0.041666667
,tGravityAccMag-std(),0.040833333
,fBodyBodyGyroJerkMag-sma(),0.04
,tBodyAccJerkMag-arCoeff()1,0.039166667
,tBodyGyroJerkMag-min(),0.039166667
,tBodyAcc-std()-Z,0.038333333
,fBodyAccJerk-min()-X,0.038333333
,"fBodyAccJerk-bandsEnergy()-17,24",0.0375
,"fBodyAccJerk-bandsEnergy()-49,64",0.036666667
,"fBodyAccJerk-bandsEnergy()-49,56_2",0.036666667
,tBodyGyroJerk-entropy()-Y,0.035833333
,tGravityAcc-mad()-Y,0.035
,tBodyAccJerkMag-min(),0.033333333
,"fBodyAccJerk-bandsEnergy()-9,16_1",0.033333333
,fBodyAcc-mad()-X,0.0325
,"fBodyAccJerk-bandsEnergy()-1,16",0.0325
,tBodyAccMag-iqr(),0.031666667
,fBodyGyro-energy()-X,0.031666667
,fBodyBodyAccJerkMag-min(),0.031666667
,tBodyAcc-max()-X,0.030833333
,"fBodyAcc-bandsEnergy()-33,48_2",0.030833333
,"fBodyAccJerk-bandsEnergy()-17,24_1",0.03
,tBodyGyro-iqr()-Y,0.029166667
,tBodyGyroJerk-max()-Z,0.029166667
,tBodyAccJerk-min()-Z,0.028333333
,tBodyAccJerk-iqr()-Z,0.0275
,fBodyAcc-entropy()-Z,0.0275
,fBodyGyro-mad()-Z,0.0275
,tBodyGyroJerk-min()-Y,0.0275
,"fBodyAcc-bandsEnergy()-49,56_1",0.026666667
,"fBodyGyro-bandsEnergy()-1,24",0.026666667
,fBodyAccMag-entropy(),0.026666667
,tBodyAccJerk-mad()-Y,0.025833333
,tBodyGyroMag-sma(),0.025833333
,fBodyAccJerk-mean()-X,0.025833333
,fBodyBodyGyroMag-skewness(),0.025833333
,"fBodyGyro-bandsEnergy()-41,48_1",0.025
,"fBodyGyro-bandsEnergy()-49,64_1",0.025
,"fBodyGyro-bandsEnergy()-41,48",0.024166667
,"fBodyGyro-bandsEnergy()-33,40_2",0.024166667
,tBodyGyroJerk-std()-Z,0.0225
,tBodyAccMag-energy(),0.0225
,"fBodyAcc-bandsEnergy()-33,40_2",0.021666667
,"fBodyGyro-bandsEnergy()-49,64",0.020833333
,tBodyGyroJerk-entropy()-Z,0.02
,"tGravityAcc-arCoeff()-Z,4",0.019166667
,"fBodyGyro-bandsEnergy()-9,16_1",0.0175
,fBodyAcc-mean()-Z,0.016666667
,"fBodyAcc-bandsEnergy()-17,32",0.016666667
,"fBodyGyro-bandsEnergy()-33,40",0.016666667
,"fBodyAccJerk-bandsEnergy()-25,48_1",0.015833333
,"fBodyGyro-bandsEnergy()-57,64_2",0.015
,tBodyAcc-energy()-Z,0.014166667
,tBodyGyroJerk-energy()-X,0.013333333
,fBodyGyro-std()-X,0.013333333
,tBodyGyro-std()-X,0.0125
,"fBodyAccJerk-bandsEnergy()-33,48",0.0125
,fBodyAcc-std()-Z,0.011666667
,"fBodyGyro-bandsEnergy()-17,24",0.011666667
,fBodyBodyGyroJerkMag-iqr(),0.011666667
,fBodyGyro-mean()-Z,0.010833333
,tBodyGyroMag-std(),0.01
,fBodyGyro-energy()-Z,0.01
,fBodyBodyGyroMag-max(),0.01
,"tBodyAcc-arCoeff()-Y,1",0.009166667
,tBodyAccJerk-entropy()-Y,0.009166667
,fBodyAccJerk-mad()-Z,0.009166667
,fBodyGyro-std()-Z,0.009166667
,"fBodyAcc-bandsEnergy()-41,48",0.008333333
,"fBodyAcc-bandsEnergy()-17,24_1",0.008333333
,fBodyAccJerk-min()-Z,0.008333333
,tBodyAcc-max()-Z,0.0075
,tGravityAccMag-mad(),0.0075
,"fBodyAcc-bandsEnergy()-1,16_2",0.0075
,"fBodyGyro-bandsEnergy()-41,48_2",0.0075
,"fBodyAcc-bandsEnergy()-57,64",0.006666667
,"fBodyAcc-bandsEnergy()-25,32_1",0.006666667
,"fBodyAcc-bandsEnergy()-49,64_2",0.006666667
,"fBodyAccJerk-bandsEnergy()-1,8_2",0.006666667
,fBodyAccJerk-energy()-Y,0.005833333
,fBodyAccJerk-entropy()-X,0.005833333
,"fBodyAccJerk-bandsEnergy()-41,48",0.005833333
,"fBodyAccJerk-bandsEnergy()-25,32_2",0.005833333
,"fBodyGyro-bandsEnergy()-17,24_2",0.005833333
,"fBodyGyro-bandsEnergy()-49,56_2",0.005833333
,tBodyGyroJerk-mad()-Y,0.005
,"fBodyAcc-bandsEnergy()-57,64_1",0.005
,"fBodyAcc-bandsEnergy()-49,64_1",0.005
,"fBodyAccJerk-bandsEnergy()-1,24",0.005
,"fBodyAccJerk-bandsEnergy()-41,48_2",0.005
,fBodyGyro-iqr()-Y,0.005
,"fBodyGyro-bandsEnergy()-33,40_1",0.005
,"fBodyGyro-bandsEnergy()-33,48_1",0.005
,fBodyBodyAccJerkMag-mean(),0.005
,fBodyBodyGyroJerkMag-energy(),0.005
,"tBodyGyro-arCoeff()-Z,2",0.004166667
,fBodyGyro-mad()-Y,0.004166667
,fBodyGyro-min()-Y,0.004166667
,"fBodyGyro-bandsEnergy()-1,16_1",0.004166667
,fBodyAccMag-mad(),0.004166667
,tGravityAcc-energy()-Z,0.003333333
,tBodyAccJerk-sma(),0.003333333
,tBodyGyroMag-mean(),0.003333333
,"fBodyAcc-bandsEnergy()-33,48",0.003333333
,fBodyGyro-energy()-Y,0.003333333
,tBodyGyro-mad()-X,0.0025
,tBodyGyroJerkMag-sma(),0.0025
,"fBodyAccJerk-bandsEnergy()-17,32",0.0025
,fBodyGyro-mad()-X,0.0025
,tBodyGyroJerk-iqr()-Y,0.001666667
,tBodyGyroMag-mad(),0.001666667
,fBodyAccJerk-std()-X,0.001666667
,"fBodyAccJerk-bandsEnergy()-57,64",0.001666667
,"fBodyAccJerk-bandsEnergy()-17,24_2",0.001666667
,fBodyBodyGyroJerkMag-max(),0.001666667
,tBodyAcc-std()-X,8.33E-04
,tGravityAcc-energy()-X,8.33E-04
,"tBodyGyro-arCoeff()-Y,3",8.33E-04
,"fBodyAcc-bandsEnergy()-49,64",8.33E-04
,"fBodyAcc-bandsEnergy()-17,32_1",8.33E-04
,"fBodyAcc-bandsEnergy()-17,32_2",8.33E-04
,"fBodyAcc-bandsEnergy()-1,24_2",8.33E-04
,fBodyAccJerk-entropy()-Y,8.33E-04
,"fBodyAccJerk-bandsEnergy()-33,40",8.33E-04
,"fBodyAccJerk-bandsEnergy()-33,40_1",8.33E-04
,"fBodyAccJerk-bandsEnergy()-33,40_2",8.33E-04
,"fBodyAccJerk-bandsEnergy()-25,48_2",8.33E-04
,"fBodyGyro-bandsEnergy()-49,64_2",8.33E-04
,fBodyBodyGyroMag-std(),8.33E-04
,tBodyAcc-mad()-Z,0
,tBodyAcc-min()-Y,0
,tBodyAccJerk-std()-X,0
,tBodyAccJerk-std()-Z,0
,tBodyAccJerk-mad()-X,0
,tBodyAccJerk-max()-Y,0
,tBodyAccJerk-energy()-X,0
,tBodyAccJerk-energy()-Z,0
,tBodyAccJerk-iqr()-X,0
,tBodyGyro-std()-Y,0
,tBodyGyro-mad()-Y,0
,tBodyGyro-energy()-Y,0
,tBodyGyroJerk-std()-Y,0
,tBodyGyroJerk-min()-X,0
,tBodyGyroJerk-min()-Z,0
,tBodyGyroJerk-energy()-Y,0
,tBodyGyroJerk-energy()-Z,0
,tBodyAccMag-mean(),0
,tBodyAccMag-mad(),0
,tBodyAccMag-max(),0
,tBodyAccMag-entropy(),0
,tGravityAccMag-mean(),0
,tGravityAccMag-max(),0
,tGravityAccMag-sma(),0
,tGravityAccMag-energy(),0
,tBodyAccJerkMag-std(),0
,tBodyAccJerkMag-mad(),0
,tBodyAccJerkMag-sma(),0
,tBodyAccJerkMag-energy(),0
,tBodyGyroMag-max(),0
,tBodyGyroJerkMag-mean(),0
,tBodyGyroJerkMag-std(),0
,tBodyGyroJerkMag-mad(),0
,tBodyGyroJerkMag-max(),0
,tBodyGyroJerkMag-energy(),0
,tBodyGyroJerkMag-entropy(),0
,fBodyAcc-mean()-Y,0
,fBodyAcc-std()-Y,0
,fBodyAcc-mad()-Z,0
,fBodyAcc-sma(),0
,fBodyAcc-iqr()-X,0
,fBodyAcc-entropy()-X,0
,"fBodyAcc-bandsEnergy()-9,16",0
,"fBodyAcc-bandsEnergy()-25,32",0
